"anio","codigo_canton","canton_original","canton","indice_competitividad","ranking_competitividad","categoria_competitividad","pilar_economico","pilar_empresarial","pilar_gobierno","pilar_laboral","pilar_infraestructura","pilar_innovacion","pilar_calidad_vida","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,303,"La Unión","LA UNION",52.2374331951141,16,"Medio",53.9400517940521,37.8882348537445,36.5761280059814,58.7654888629913,72.3906576633453,56.5519332885742,49.5495289564133,0,0,0,0,0,0,0,0,0,0,2610,1363,1247,0,52.22,47.78,462,2148,"UNIVERSIDAD DE COSTA RICA",1363,"ADMINISTRACION DE EMPRESAS",251,5,316
2022,304,"Jiménez","JIMENEZ",37.7566307783127,68,"Bajo",25.8971929550171,20.2797755599022,44.4982647895813,39.9608612060547,44.3752706050873,34.15167927742,55.1333785057068,1,0,0,0,0,0,0,0,1,1,550,331,219,0,60.18,39.82,89,461,"UNIVERSIDAD DE COSTA RICA",280,"ADMINISTRACION DE EMPRESAS",40,5,147
2022,305,"Turrialba","TURRIALBA",38.3679151535034,65,"Bajo",32.7947050333023,29.3212622404099,34.6765220165253,60.988312959671,40.0377541780472,16.709853708744,54.0469884872437,0,0,0,0,0,0,0,0,0,0,2798,1494,1304,0,53.4,46.6,475,2323,"UNIVERSIDAD DE COSTA RICA",1305,"ADMINISTRACION DE EMPRESAS",187,5,256
2022,306,"Alvarado","ALVARADO",42.2856330871582,55,"Medio",39.0623152256012,25.3481656312943,41.1054790019989,45.2496826648712,44.7300642728806,47.8831261396408,52.6205956935883,0,0,0,0,0,0,0,0,0,0,376,218,158,0,57.98,42.02,72,304,"UNIVERSIDAD DE COSTA RICA",175,"ADMINISTRACION DE EMPRESAS",31,5,136
2022,307,"Oreamuno","OREAMUNO",45.5850124359131,37,"Medio",41.4823591709137,30.7478576898575,32.6220870018005,47.9296416044235,60.5241119861603,54.2672991752625,51.5217244625092,0,0,0,0,0,0,0,0,0,0,1285,637,648,0,49.57,50.43,209,1076,"UNIVERSIDAD DE COSTA RICA",544,"ADMINISTRACION DE EMPRESAS",118,5,209
2022,308,"El Guarco","EL GUARCO",48.9002257585526,21,"Medio",49.7706890106201,39.0131741762161,30.3905665874481,56.0876071453094,56.7739009857178,62.8547132015228,47.410923242569,0,0,0,0,0,0,0,0,0,0,1309,693,616,0,52.94,47.06,221,1088,"UNIVERSIDAD DE COSTA RICA",525,"ADMINISTRACION DE EMPRESAS",134,5,214
2022,401,"Heredia","HEREDIA",63.360869884491,5,"Alto",66.090977191925,48.5112011432648,43.2343274354935,70.2026307582855,78.8369953632355,74.7685372829437,61.8813991546631,2,0,1,0,0,0,0,0,2,3,3779,2039,1740,0,53.96,46.04,613,3166,"UNIVERSIDAD NACIONAL",1326,"ADMINISTRACION DE EMPRESAS",239,5,357
2022,402,"Barva","BARVA",49.7379660606384,18,"Medio",45.2364265918732,37.4367773532867,35.405370593071,56.904274225235,77.8632342815399,44.6952849626541,50.6243944168091,0,0,0,0,0,0,0,0,0,0,1368,730,638,0,53.36,46.64,229,1139,"UNIVERSIDAD NACIONAL",554,"ADMINISTRACION",93,5,252
2022,403,"Santo Domingo","SANTO DOMINGO",61.1080765724182,9,"Alto",64.7736608982086,57.5837254524231,42.4388319253922,68.6229526996613,71.5142607688904,71.1676836013794,51.6554415225983,0,0,0,0,1,0,0,0,0,1,1307,663,644,0,50.73,49.27,208,1099,"UNIVERSIDAD DE COSTA RICA",551,"ADMINISTRACION DE EMPRESAS",77,5,252
2022,404,"Santa Bárbara","SANTA BARBARA",44.4040954113007,45,"Medio",36.7468953132629,34.8661929368973,28.4624755382538,55.3865492343903,67.4992084503174,33.0328166484833,54.834520816803,0,0,0,0,0,0,0,0,0,0,974,547,427,0,56.16,43.84,194,780,"UNIVERSIDAD NACIONAL",303,"ADMINISTRACION DE EMPRESAS",64,5,202
